x,y,z
1.36,0.90,0.0
1.37,0.93,0.0
1.37,0.95,0.0
1.37,0.97,0.0
1.37,0.99,0.0
1.37,1.01,0.0
1.36,1.03,0.0
1.36,1.05,0.0
1.35,1.07,0.0
1.35,1.08,0.0
1.35,1.09,0.0
1.34,1.09,0.0
1.33,1.10,0.0
1.34,1.10,0.0
1.35,1.10,0.0
1.35,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.35,1.10,0.0
1.35,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.34,1.10,0.0
1.33,1.11,0.0
1.31,1.12,0.0
1.30,1.13,0.0
1.29,1.14,0.0
1.27,1.15,0.0
1.26,1.15,0.0
1.24,1.17,0.0
1.22,1.17,0.0
1.21,1.18,0.0
1.19,1.19,0.0
1.17,1.20,0.0
1.15,1.21,0.0
1.13,1.22,0.0
1.11,1.23,0.0
1.09,1.24,0.0
1.07,1.25,0.0
1.04,1.26,0.0
1.02,1.27,0.0
1.00,1.28,0.0
0.97,1.29,0.0
0.95,1.30,0.0
0.93,1.32,0.0
0.90,1.33,0.0
0.88,1.33,0.0
0.85,1.35,0.0
0.81,1.36,0.0
0.78,1.37,0.0
0.76,1.38,0.0
0.73,1.39,0.0
0.70,1.40,0.0
0.68,1.41,0.0
0.65,1.42,0.0
0.63,1.42,0.0
0.60,1.43,0.0
0.58,1.44,0.0
0.55,1.45,0.0
0.53,1.46,0.0
0.50,1.46,0.0
0.48,1.47,0.0
0.45,1.47,0.0
0.43,1.48,0.0
0.40,1.48,0.0
0.38,1.49,0.0
0.36,1.49,0.0
0.33,1.49,0.0
0.31,1.50,0.0
0.28,1.50,0.0
0.26,1.50,0.0
0.25,1.50,0.0
0.24,1.50,0.0
0.24,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.51,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.25,1.50,0.0
0.24,1.50,0.0
0.22,1.48,0.0
0.21,1.46,0.0
0.20,1.45,0.0
0.19,1.43,0.0
0.18,1.42,0.0
0.17,1.40,0.0
0.16,1.38,0.0
0.15,1.36,0.0
0.14,1.34,0.0
0.13,1.32,0.0
0.12,1.30,0.0
0.10,1.28,0.0
0.09,1.26,0.0
0.08,1.24,0.0
0.07,1.21,0.0
0.06,1.19,0.0
0.04,1.17,0.0
0.03,1.15,0.0
0.02,1.13,0.0
0.01,1.11,0.0
-0.00,1.08,0.0
-0.02,1.06,0.0
-0.03,1.04,0.0
-0.04,1.02,0.0
-0.06,0.98,0.0
-0.07,0.96,0.0
