acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.21487,0.00695,-1.02172,0.00067,-0.01695,-0.01467
-0.33191,-0.01001,-0.98982,0.00486,0.00067,0.01642
0.14327,0.02349,-1.00149,-0.00568,0.00906,-0.02344
-0.08501,0.00452,-1.01541,0.01124,-0.00643,-0.03347
-0.0202,0.00811,-1.00438,0.01078,0.01469,0.02771
0.00966,-0.00825,-1.00063,0.0037,0.00762,-0.01284
-0.02208,0.01037,-0.99682,-0.00473,0.03175,0.00582
0.29078,0.04102,-0.98629,0.03758,0.0112,0.01687
-0.00968,-0.00899,-0.98669,0.08806,-0.13374,-0.0241
-0.28249,-0.05662,-1.00544,0.00501,0.03388,0.15618
0.2211,0.03207,-1.01944,-0.0037,-0.00069,-0.0406
-0.26943,0.01448,-0.97616,0.01315,-0.0133,-0.04488
0.01112,-0.02846,-1.01009,-0.00257,0.04399,0.03229
0.16151,0.03392,-0.98734,0.01565,-0.01132,-0.01554
-0.33129,0.0629,-0.97561,0.01943,0.04182,-0.06288
0.11064,0.03551,-1.00354,0.01655,0.01247,0.01085
-0.14811,0.01359,-1.00331,0.00497,-0.00841,0.00775
0.02184,0.03577,-1.00368,0.00165,0.00741,-0.01142
-0.02776,0.02021,-0.99915,0.00607,0.00975,-0.01299
-0.22796,-0.59734,-1.00011,0.05995,0.04563,1.81223
0.02972,-0.00304,-1.01381,-0.05587,-0.04241,2.2347
0.00084,-0.03847,-1.02573,-0.08284,-0.01505,2.46532
0.0535,0.00216,-1.02626,-0.05671,-0.04066,2.48985
0.07593,-0.01035,-1.03861,0.02198,-0.07692,2.56792
0.07247,-0.00752,-1.01576,0.05865,0.0069,2.56617
0.1422,0.37544,-0.99654,0.0334,0.05393,1.13152
0.01874,0.12858,-1.00243,0.01131,0.02957,0.624
-0.01821,-0.27801,-0.98536,-0.00771,0.0336,0.09874
0.26629,0.01407,-1.01732,0.03295,-0.04153,0.0023
-0.11781,0.08322,-0.95721,0.10663,-0.02704,-0.08537
-0.1582,-0.02957,-1.00719,-0.02302,0.02914,-0.02485
0.25352,0.05627,-1.03562,-0.01102,-0.0439,0.01385
-0.32997,0.01911,-0.99186,0.01014,0.00483,-0.07008
0.15942,0.02756,-0.98561,0.03747,0.07451,0.0417
0.0206,-0.02556,-1.02416,0.02547,-0.04696,0.03198
-0.1824,0.08936,-0.99319,-0.03756,0.02322,-0.24987
0.1812,0.07058,-1.01375,-0.01163,0.00521,0.20228
-0.15817,-0.0068,-0.99528,0.02226,0.00942,-0.08688
-0.00461,0.04557,-1.00571,0.00243,-0.00026,-0.00776
0.01839,0.03258,-0.99942,0.01361,0.00825,-0.05038
-0.05664,-0.03752,-1.00405,0.01038,0.00985,0.01132
-0.00736,0.01134,-1.00263,0.00133,0.01665,6e-05
-0.01583,0.00376,-1.00388,-0.00091,0.01098,-0.00441
0.22033,-0.06207,-0.99526,0.03148,0.05209,0.06512
0.23741,0.06,-1.01249,0.01211,-0.02797,0.01813
-0.3683,0.01791,-1.05878,0.04812,0.01849,-0.14009
0.01903,-0.03094,-1.00858,0.00093,0.01962,0.25212
0.00331,0.02153,-0.98951,-0.00764,0.00256,0.06527
-0.25199,-0.02647,-0.99436,0.01424,0.01386,0.03093
0.24535,0.02702,-1.00053,0.01615,0.04044,-0.02169
-0.20022,0.03006,-0.99838,0.02011,-0.02145,-0.03517
0.00058,0.04209,-1.01661,8e-05,0.02543,0.16949
0.03788,0.10814,-1.00071,0.00266,0.00478,-0.0918
-0.03179,-0.01932,-1.00693,-0.01057,0.0052,-0.06841
-0.03171,0.01526,-0.99929,0.00489,0.00578,0.00819
0.28851,0.00875,-0.99416,0.02353,0.0587,0.00459
0.14701,0.10382,-1.00394,0.0558,-0.11107,-0.02366
-0.35836,-0.00997,-1.0032,0.0168,-0.00203,-0.01399
0.23777,0.0258,-1.00628,0.01558,0.01782,-0.01705
-0.14936,0.00439,-0.98519,0.02906,-0.00905,0.001
-0.18151,-0.10105,-0.99376,-0.02148,0.02581,0.01169
0.18067,0.03262,-1.00089,0.00425,0.03496,0.05245
-0.24832,-0.03707,-1.00187,0.01207,-0.00928,0.08821
0.09519,0.04943,-1.01456,0.00306,0.02331,0.04315
-0.02698,0.0061,-1.00185,-0.00328,0.00336,-0.01452
-0.03447,0.02013,-1.00376,-0.00062,0.01388,-0.00893
0.00565,0.02957,-1.00323,0.00485,0.00825,-0.0217
-0.15372,-0.35943,-0.95326,0.124,0.0434,0.98771
0.00774,0.02845,-1.00586,-0.02931,-0.03151,2.17454
0.02631,-0.01328,-1.02091,-0.07791,-0.01372,2.42174
0.08517,-0.02315,-1.01992,-0.05504,-0.0125,2.48963
0.09448,-0.02963,-1.03049,-0.03714,-0.02432,2.58206
0.03808,-0.06193,-1.02036,-0.01564,-0.0289,2.65646
0.14336,0.32406,-1.01512,0.03092,0.00346,1.51793
0.01084,0.0308,-0.99617,0.00836,0.00521,0.81863
-0.07407,0.00353,-0.9992,0.05449,0.01696,-0.25765
0.26345,0.02069,-1.00693,0.03024,-0.01146,0.17794
0.16029,0.11333,-0.99546,-0.05159,-0.05334,-0.05966
-0.19185,0.08657,-1.00496,-0.00179,0.03588,-0.0504
0.13512,-0.01207,-1.0008,0.00999,0.02629,0.0084
-0.13595,0.01571,-0.99906,0.00144,-0.01275,0.05434
-0.03268,0.0129,-0.99596,-0.01029,0.03858,-0.0177
0.12072,0.0128,-1.02548,-0.00475,-0.01544,0.00418
-0.24104,0.01111,-0.98918,-0.00225,0.01864,0.01605
0.1851,0.02442,-0.99551,0.02579,0.04632,-0.0032
-0.0587,0.03052,-1.00441,0.03187,-0.01158,-0.03985
-0.08284,0.00858,-1.00147,-0.01006,0.04563,0.22018
0.10989,-0.06143,-1.00744,0.00479,-0.0024,-0.04486
-0.21985,0.00939,-0.98645,0.00276,0.02267,-0.02452
-0.00388,0.01581,-1.00173,0.00336,0.009,-0.00389
-0.00791,0.01292,-1.0016,0.00478,0.00197,0.00511
-0.00531,0.01533,-0.99953,0.00602,0.01105,0.00774
0.00122,0.01112,-1.00324,0.00665,0.00554,0.00459
-0.01603,0.01318,-1.00268,-7e-05,0.02156,-0.00784
0.19263,-0.08667,-1.00365,-0.00207,0.01259,0.16831
0.24187,0.10601,-1.05544,-0.06459,-0.04607,-0.04076
-0.29734,0.0046,-0.99847,0.01996,0.00423,-0.1329
0.01096,-0.06133,-1.01412,-0.00303,0.01821,0.13132
0.01274,0.04727,-1.00877,-0.00219,0.01592,0.08796
-0.16915,-0.05734,-0.99754,0.00879,0.02665,-0.01836
0.17197,0.0405,-1.00494,0.00275,0.0103,0.02102
-0.1885,-0.01356,-1.00226,0.02669,-0.02897,-0.00832
0.00239,0.03055,-1.00191,-0.00965,0.03687,-0.02838
0.11776,0.02572,-1.0052,0.00505,-0.00498,-0.02512
-0.19864,-0.07875,-0.98535,0.00318,0.03906,0.05005
-0.01497,-0.00302,-1.00094,-0.00155,0.00907,0.02546
-0.00972,0.0199,-1.00121,0.00115,0.0115,-0.00826
-0.00119,0.01309,-1.00223,0.00688,0.01353,0.00368
-0.01063,0.01355,-1.00299,0.00491,0.0089,0.00406
0.1997,-0.03004,-1.00723,0.01512,0.03582,0.10367
