data
"acc_x:0.0, acc_y:0.0, acc_z:0.0, gyro_x:0.0, gyro_y:0.0, gyro_z:0.0"
"acc_x:-0.31861, acc_y:-0.02652, acc_z:-0.99409, gyro_x:0.01298, gyro_y:-0.01222, gyro_z:-0.06215"
"acc_x:0.19345, acc_y:-0.01157, acc_z:-0.99494, gyro_x:0.04059, gyro_y:0.0255, gyro_z:0.09187"
"acc_x:-0.08994, acc_y:0.09393, acc_z:-0.99718, gyro_x:0.01534, gyro_y:0.00687, gyro_z:-0.12243"
"acc_x:-0.14215, acc_y:0.0573, acc_z:-0.98964, gyro_x:-0.03951, gyro_y:0.03668, gyro_z:-0.04311"
"acc_x:0.22801, acc_y:0.00413, acc_z:-1.01931, gyro_x:-0.005, gyro_y:-0.06033, gyro_z:-0.01647"
"acc_x:-0.32302, acc_y:-0.03545, acc_z:-0.98832, gyro_x:0.0095, gyro_y:-0.01491, gyro_z:0.10408"
"acc_x:0.10263, acc_y:-0.00656, acc_z:-1.00516, gyro_x:-0.01814, gyro_y:0.03091, gyro_z:0.04883"
"acc_x:-0.00158, acc_y:0.01979, acc_z:-0.9992, gyro_x:0.00426, gyro_y:-0.00615, gyro_z:0.05443"
"acc_x:-0.05477, acc_y:0.03301, acc_z:-0.99717, gyro_x:-0.00299, gyro_y:0.00573, gyro_z:0.00494"
"acc_x:0.00329, acc_y:-0.00084, acc_z:-1.00081, gyro_x:0.00419, gyro_y:0.01139, gyro_z:0.00496"
"acc_x:-0.00803, acc_y:0.01273, acc_z:-1.002, gyro_x:0.00532, gyro_y:0.00384, gyro_z:-0.00749"
"acc_x:0.01234, acc_y:-0.02338, acc_z:-0.99323, gyro_x:0.01223, gyro_y:0.03707, gyro_z:0.01261"
"acc_x:0.29671, acc_y:0.04294, acc_z:-0.9878, gyro_x:0.02316, gyro_y:-0.01975, gyro_z:0.1244"
"acc_x:-0.00963, acc_y:0.02752, acc_z:-1.01657, gyro_x:0.0161, gyro_y:-0.13817, gyro_z:-0.07841"
"acc_x:-0.25568, acc_y:0.00611, acc_z:-0.96145, gyro_x:0.01509, gyro_y:0.0364, gyro_z:-0.0214"
"acc_x:0.23811, acc_y:0.01477, acc_z:-1.04596, gyro_x:0.00464, gyro_y:-0.0148, gyro_z:-0.03155"
"acc_x:-0.28031, acc_y:0.00431, acc_z:-1.03888, gyro_x:-0.02327, gyro_y:-0.05149, gyro_z:0.05647"
"acc_x:0.03574, acc_y:0.0694, acc_z:-1.00293, gyro_x:0.00873, gyro_y:0.02727, gyro_z:-0.00578"
"acc_x:0.05395, acc_y:-0.00369, acc_z:-0.99977, gyro_x:-0.01564, gyro_y:0.00839, gyro_z:-0.02488"
"acc_x:-0.23667, acc_y:0.00034, acc_z:-0.99305, gyro_x:0.00917, gyro_y:0.02288, gyro_z:-0.01595"
"acc_x:0.20605, acc_y:0.01322, acc_z:-0.99925, gyro_x:0.01071, gyro_y:0.00876, gyro_z:0.02662"
"acc_x:-0.10484, acc_y:0.00954, acc_z:-1.0045, gyro_x:0.00764, gyro_y:0.00063, gyro_z:0.01839"
"acc_x:-0.01078, acc_y:-0.0062, acc_z:-1.00329, gyro_x:-0.00413, gyro_y:0.02182, gyro_z:0.05913"
"acc_x:-0.00847, acc_y:0.02637, acc_z:-1.00401, gyro_x:0.0064, gyro_y:0.00225, gyro_z:0.03709"
"acc_x:-0.03335, acc_y:0.00439, acc_z:-1.00087, gyro_x:0.00779, gyro_y:0.00891, gyro_z:0.01598"
"acc_x:-0.01123, acc_y:0.01127, acc_z:-1.00177, gyro_x:0.00421, gyro_y:0.00843, gyro_z:0.00855"
"acc_x:-0.13898, acc_y:-0.38537, acc_z:-0.97399, gyro_x:0.11437, gyro_y:-0.01571, gyro_z:1.08786"
"acc_x:0.05504, acc_y:-0.01533, acc_z:-0.995, gyro_x:0.00553, gyro_y:0.03744, gyro_z:2.30283"
"acc_x:0.04162, acc_y:-0.02583, acc_z:-1.03416, gyro_x:0.00716, gyro_y:0.01038, gyro_z:2.42423"
"acc_x:0.04935, acc_y:0.0094, acc_z:-1.07171, gyro_x:-0.01683, gyro_y:-0.05629, gyro_z:2.49757"
"acc_x:0.05818, acc_y:-0.02944, acc_z:-1.02985, gyro_x:0.01166, gyro_y:-0.04044, gyro_z:2.55535"
